the Stock Exchange,the Main Board,"('subsidiary', 0.3211733400821686)"
the Stock Exchange,Winto Group (Holdings) Limited,"('subsidiary', 0.3211733400821686)"
the Stock Exchange,Company,"('subsidiary', 0.3211733400821686)"
the Stock Exchange,Winto  Group (Holdings) Limited,"('subsidiary', 0.3211733400821686)"
the Stock Exchange,Basic,"('subsidiary', 0.3211733400821686)"
the Stock Exchange,Share premium Exchange  reserve Share,"('subsidiary', 0.3211733400821686)"
Winto  Group (Holdings) Limited,Basic,"('subsidiary', 0.3843516409397125)"
Winto  Group (Holdings) Limited,Share premium Exchange  reserve Share,"('subsidiary', 0.3843516409397125)"
Winto  Group (Holdings) Limited,Accumulated,"('subsidiary', 0.3843516409397125)"
Winto  Group (Holdings) Limited,Œ Exchange,"('subsidiary', 0.3843516409397125)"
Winto  Group (Holdings) Limited,UNAUDITED CONDENSED,"('subsidiary', 0.3843516409397125)"
HKFRS,"2,940,2039,146,240","('subsidiary', 0.7449280619621277)"
HKFRS,"2,940,2039,146,240","('subsidiary', 0.7449280619621277)"
HKFRS,"2,940,2039,146,240","('subsidiary', 0.7449280619621277)"
HKFRS,Qihui Group,"('subsidiary', 0.7449280619621277)"
HKFRS,"2,940,2039,146,240","('subsidiary', 0.7449280619621277)"
HKFRS,Qihui Group,"('subsidiary', 0.7449280619621277)"
HKFRS,International) Limited,"('subsidiary', 0.7449280619621277)"
HKFRS,"2,940,2039,146,240","('subsidiary', 0.7449280619621277)"
HKFRS,Qihui Group,"('subsidiary', 0.7449280619621277)"
HKFRS,International) Limited,"('subsidiary', 0.7449280619621277)"
HKFRS,the  ﬁQihui Group ﬂ,"('subsidiary', 0.7449280619621277)"
"2,940,2039,146,240",Qihui Group,"('subsidiary', 0.31377851963043213)"
"2,940,2039,146,240",International) Limited,"('subsidiary', 0.31377851963043213)"
"2,940,2039,146,240",the  ﬁQihui Group ﬂ,"('subsidiary', 0.31377851963043213)"
"2,940,2039,146,240",the Qihui Group,"('subsidiary', 0.31377851963043213)"
Qihui Group,the  Company™,"('subsidiary', 0.6959783434867859)"
International) Limited,the  Company™,"('subsidiary', 0.5983125567436218)"
International) Limited,the  Group,"('subsidiary', 0.5983125567436218)"
the  ﬁQihui Group ﬂ,the  Company™,"('subsidiary', 0.5654017329216003)"
the  ﬁQihui Group ﬂ,the  Group,"('subsidiary', 0.5654017329216003)"
the  ﬁQihui Group ﬂ,The  Group,"('subsidiary', 0.5654017329216003)"
the  Group,FINANCIAL REVIEW Revenue Revenue,"('subsidiary', 0.33637651801109314)"
the  Group,ProfitThe Group,"('subsidiary', 0.33637651801109314)"
FINANCIAL REVIEW Revenue Revenue,ProfitThe Group,"('subsidiary', 0.23577269911766052)"
FINANCIAL REVIEW Revenue Revenue,UNDERLYING,"('subsidiary', 0.23577269911766052)"
FINANCIAL REVIEW Revenue Revenue,the Securities and Futures Ordinance,"('subsidiary', 0.23577269911766052)"
Stock Exchange,SFO,"('subsidiary', 0.4282301962375641)"
Stock Exchange,Company,"('subsidiary', 0.4282301962375641)"
Stock Exchange,SharesApproximate,"('subsidiary', 0.4282301962375641)"
Stock Exchange,Source Creation  International Limited ( ﬁSource Creation,"('subsidiary', 0.4282301962375641)"
Stock Exchange,SharesApproximate,"('subsidiary', 0.4282301962375641)"
Stock Exchange,Source Creation  International Limited ( ﬁSource Creation,"('subsidiary', 0.4282301962375641)"
Stock Exchange,Source Creation,"('subsidiary', 0.4282301962375641)"
Stock Exchange,Company,"('subsidiary', 0.4282301962375641)"
Stock Exchange,Share Options of the  Company Details,"('subsidiary', 0.4282301962375641)"
SharesApproximate,Source Creation  International Limited ( ﬁSource Creation,"('subsidiary', 0.286861777305603)"
SharesApproximate,Share Options of the  Company Details,"('subsidiary', 0.286861777305603)"
SharesApproximate,Shares of the Company,"('subsidiary', 0.286861777305603)"
Share Options of the  Company Details,Shares of the Company,"('subsidiary', 0.2746635377407074)"
Share Options of the  Company Details,Share Options Name of  Directors,"('subsidiary', 0.2746635377407074)"
Share Options of the  Company Details,Share Options Name of  Directors,"('subsidiary', 0.2746635377407074)"
Share Options Name of  Directors,ﬁShare,"('subsidiary', 0.1996881365776062)"
Share Options Name of  Directors,the Stock  Exchange,"('subsidiary', 0.1996881365776062)"
Share Options Name of  Directors,ﬁShare,"('subsidiary', 0.1996881365776062)"
Share Options Name of  Directors,the Stock  Exchange,"('subsidiary', 0.1996881365776062)"
Stock Exchange,the  Stock Exchange,"('subsidiary', 0.4282301962375641)"
Stock Exchange,SFO,"('subsidiary', 0.4282301962375641)"
Stock Exchange,the  Company,"('subsidiary', 0.4282301962375641)"
Stock Exchange,Company,"('subsidiary', 0.4282301962375641)"
the Stock Exchange,SFO,"('subsidiary', 0.3211733400821686)"
the Stock Exchange,SFO,"('subsidiary', 0.3211733400821686)"
the Stock Exchange,the  Group,"('subsidiary', 0.3211733400821686)"
the Stock Exchange,Company,"('subsidiary', 0.3211733400821686)"
the  Group,Gram  Capital Limited,"('subsidiary', 0.33637651801109314)"
the  Group,The Audit Committee,"('subsidiary', 0.33637651801109314)"
the GEM Listing Rules,Ho Paul,"('subsidiary', 0.26280477643013)"
the GEM Listing Rules,The Audit Committee,"('subsidiary', 0.26280477643013)"
the GEM Listing Rules,the  Group,"('subsidiary', 0.26280477643013)"
the GEM Listing Rules,Audit Committee,"('subsidiary', 0.26280477643013)"
Ho Paul,The Audit Committee,"('subsidiary', 0.1689140796661377)"
Ho Paul,Audit Committee,"('subsidiary', 0.1689140796661377)"
Ho Paul,Order of the Board Winto Group (Holdings,"('subsidiary', 0.1689140796661377)"
the  Group,Audit Committee,"('subsidiary', 0.33637651801109314)"
the  Group,Order of the Board Winto Group (Holdings,"('subsidiary', 0.33637651801109314)"
